question_id,step,agent,action,policy,raw_0,raw_1,raw_2,raw_3,dense_sparse_weight,top_k,rerank_threshold,source_diversity,system,relevance_threshold,evidence_keep_ratio,strictness_score,temperature,citation_strictness,max_tokens,answer_detail_level,support_threshold,confidence_threshold
Q001,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.437765,-0.034425,0.070739,0.621055,0.28111764788627625,17,0.5353695712983608,0.8105276226997375,maddpg_no_ceb,,,,,,,,,
Q001,2,grader,strict_filter,maddpg_no_ceb,0.522579,-0.395954,0.579791,,,,,,maddpg_no_ceb,0.7612892687320709,0.30202317237854004,0.7898952960968018,,,,,,
Q001,3,generator,generate_answer,maddpg_no_ceb,-0.185552,-0.053547,0.235041,-0.059483,,,,,maddpg_no_ceb,,,,0.40722399950027466,0.4732266217470169,681,0.470258716493845,,
Q001,4,verifier,verify_answer,maddpg_no_ceb,0.518402,0.498145,,,,,,,maddpg_no_ceb,,,,,,,,0.7592010498046875,0.7490726560354233
Q002,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.556454,0.039519,0.369659,0.534454,0.2217731773853302,17,0.684829443693161,0.7672272026538849,maddpg_no_ceb,,,,,,,,,
Q002,2,grader,strict_filter,maddpg_no_ceb,0.421343,-0.550135,0.666017,,,,,,maddpg_no_ceb,0.7106714993715286,0.22493258118629456,0.8330086767673492,,,,,,
Q002,3,generator,generate_answer,maddpg_no_ceb,-0.223319,-0.043644,0.300603,-0.178857,,,,,maddpg_no_ceb,,,,0.3883402794599533,0.4781778771430254,710,0.4105714038014412,,
Q002,4,verifier,verify_answer,maddpg_no_ceb,0.59579,0.493026,,,,,,,maddpg_no_ceb,,,,,,,,0.7978949844837189,0.7465129643678665
Q003,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.52635,-0.023914,0.206125,0.595708,0.23682522773742676,17,0.6030623391270638,0.7978542149066925,maddpg_no_ceb,,,,,,,,,
Q003,2,grader,strict_filter,maddpg_no_ceb,0.561377,-0.491832,0.617736,,,,,,maddpg_no_ceb,0.7806885242462158,0.2540837824344635,0.8088679313659668,,,,,,
Q003,3,generator,generate_answer,maddpg_no_ceb,-0.206097,-0.007362,0.293344,-0.108043,,,,,maddpg_no_ceb,,,,0.3969515413045883,0.49631916685029864,707,0.44597867503762245,,
Q003,4,verifier,verify_answer,maddpg_no_ceb,0.51274,0.540908,,,,,,,maddpg_no_ceb,,,,,,,,0.7563698291778564,0.7704537510871887
Q004,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.52635,-0.023914,0.206125,0.595708,0.23682522773742676,17,0.6030623391270638,0.7978542149066925,maddpg_no_ceb,,,,,,,,,
Q004,2,grader,strict_filter,maddpg_no_ceb,0.561377,-0.491832,0.617736,,,,,,maddpg_no_ceb,0.7806884050369263,0.2540840059518814,0.8088681101799011,,,,,,
Q004,3,generator,generate_answer,maddpg_no_ceb,-0.206097,-0.007362,0.293344,-0.108043,,,,,maddpg_no_ceb,,,,0.3969515413045883,0.49631916685029864,707,0.44597867503762245,,
Q004,4,verifier,verify_answer,maddpg_no_ceb,0.51274,0.540908,,,,,,,maddpg_no_ceb,,,,,,,,0.7563698291778564,0.7704537510871887
Q005,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.667307,0.167776,0.536927,0.486683,0.1663467288017273,19,0.7684632539749146,0.7433414906263351,maddpg_no_ceb,,,,,,,,,
Q005,2,grader,strict_filter,maddpg_no_ceb,0.437221,-0.604577,0.69005,,,,,,maddpg_no_ceb,0.7186105251312256,0.19771134853363037,0.8450252413749695,,,,,,
Q005,3,generator,generate_short_answer,maddpg_no_ceb,-0.263173,-0.008044,0.398442,-0.238151,,,,,maddpg_no_ceb,,,,0.36841368675231934,0.4959779540076852,754,0.38092469424009323,,
Q005,4,verifier,verify_answer,maddpg_no_ceb,0.598087,0.557202,,,,,,,maddpg_no_ceb,,,,,,,,0.7990437150001526,0.7786007821559906
Q006,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.52635,-0.023914,0.206125,0.595708,0.23682522773742676,17,0.6030623391270638,0.7978542149066925,maddpg_no_ceb,,,,,,,,,
Q006,2,grader,strict_filter,maddpg_no_ceb,0.561377,-0.491832,0.617736,,,,,,maddpg_no_ceb,0.7806884050369263,0.2540840059518814,0.8088681101799011,,,,,,
Q006,3,generator,generate_answer,maddpg_no_ceb,-0.206097,-0.007362,0.293344,-0.108043,,,,,maddpg_no_ceb,,,,0.3969515413045883,0.49631916685029864,707,0.44597867503762245,,
Q006,4,verifier,verify_answer,maddpg_no_ceb,0.51274,0.540908,,,,,,,maddpg_no_ceb,,,,,,,,0.7563698291778564,0.7704537510871887
Q007,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.615828,0.107913,0.456612,0.512578,0.192085862159729,18,0.7283061146736145,0.756289005279541,maddpg_no_ceb,,,,,,,,,
Q007,2,grader,strict_filter,maddpg_no_ceb,0.427562,-0.583093,0.680061,,,,,,maddpg_no_ceb,0.7137810587882996,0.20845362544059753,0.8400304913520813,,,,,,
Q007,3,generator,generate_short_answer,maddpg_no_ceb,-0.236561,-0.012604,0.339862,-0.207034,,,,,maddpg_no_ceb,,,,0.381719708442688,0.49369810009375215,728,0.3964828997850418,,
Q007,4,verifier,verify_answer,maddpg_no_ceb,0.604072,0.525362,,,,,,,maddpg_no_ceb,,,,,,,,0.802035927772522,0.7626811861991882
Q008,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.615828,0.107913,0.456612,0.512578,0.192085862159729,18,0.7283061146736145,0.756289005279541,maddpg_no_ceb,,,,,,,,,
Q008,2,grader,strict_filter,maddpg_no_ceb,0.427562,-0.583093,0.680061,,,,,,maddpg_no_ceb,0.7137810587882996,0.20845362544059753,0.8400304913520813,,,,,,
Q008,3,generator,generate_short_answer,maddpg_no_ceb,-0.236561,-0.012604,0.339862,-0.207034,,,,,maddpg_no_ceb,,,,0.381719708442688,0.49369810009375215,728,0.3964828997850418,,
Q008,4,verifier,verify_answer,maddpg_no_ceb,0.604072,0.525362,,,,,,,maddpg_no_ceb,,,,,,,,0.802035927772522,0.7626811861991882
Q009,1,retriever,hybrid_rerank,maddpg_no_ceb,-0.489096,-0.009054,0.29001,0.55239,0.2554522007703781,17,0.6450051665306091,0.7761951684951782,maddpg_no_ceb,,,,,,,,,
Q009,2,grader,strict_filter,maddpg_no_ceb,0.419362,-0.500785,0.633828,,,,,,maddpg_no_ceb,0.7096809893846512,0.249607652425766,0.8169138431549072,,,,,,
Q009,3,generator,generate_answer,maddpg_no_ceb,-0.23164,-0.081062,0.267209,-0.148958,,,,,maddpg_no_ceb,,,,0.3841799944639206,0.4594688154757023,695,0.4255210682749748,,
Q009,4,verifier,verify_answer,maddpg_no_ceb,0.577934,0.458113,,,,,,,maddpg_no_ceb,,,,,,,,0.7889667749404907,0.7290563136339188
Q001,1,retriever,hybrid_rerank,maddpg_ceb,-0.505272,0.01098,0.247102,0.481674,0.24736377596855164,17,0.623551219701767,0.7408367544412613,maddpg_ceb,,,,,,,,,
Q001,2,grader,strict_filter,maddpg_ceb,0.675697,-0.572987,0.577552,,,,,,maddpg_ceb,0.8378486633300781,0.2135063111782074,0.7887761890888214,,,,,,
Q001,3,generator,generate_answer,maddpg_ceb,-0.095936,-0.212776,-0.192956,-0.020175,,,,,maddpg_ceb,,,,0.4520321525633335,0.3936120495200157,489,0.4899125825613737,,
Q001,4,verifier,verify_answer,maddpg_ceb,0.65951,0.211083,,,,,,,maddpg_ceb,,,,,,,,0.8297549784183502,0.6055414527654648
Q002,1,retriever,hybrid_rerank,maddpg_ceb,-0.599111,0.006409,0.517595,0.282008,0.20044448971748352,17,0.7587973475456238,0.6410039365291595,maddpg_ceb,,,,,,,,,
Q002,2,grader,medium_filter,maddpg_ceb,0.50834,-0.395399,0.02112,,,,,,maddpg_ceb,0.7541699409484863,0.30230046808719635,0.5105600673705339,,,,,,
Q002,3,generator,generate_answer,maddpg_ceb,-0.414824,-0.471378,-0.188484,-0.069975,,,,,maddpg_ceb,,,,0.2925877869129181,0.2643107920885086,491,0.4650125838816166,,
Q002,4,verifier,verify_answer,maddpg_ceb,0.697044,0.072711,,,,,,,maddpg_ceb,,,,,,,,0.8485219776630402,0.5363553501665592
Q003,1,retriever,hybrid_rerank,maddpg_ceb,-0.482568,0.099469,0.276111,0.481493,0.2587161064147949,18,0.6380553096532822,0.7407464981079102,maddpg_ceb,,,,,,,,,
Q003,2,grader,strict_filter,maddpg_ceb,0.639558,-0.53235,0.532795,,,,,,maddpg_ceb,0.8197791874408722,0.23382514715194702,0.7663972675800323,,,,,,
Q003,3,generator,generate_answer,maddpg_ceb,-0.058399,-0.203477,-0.223624,-0.036163,,,,,maddpg_ceb,,,,0.4708007462322712,0.39826126396656036,475,0.48191870748996735,,
Q003,4,verifier,verify_answer,maddpg_ceb,0.644299,0.183138,,,,,,,maddpg_ceb,,,,,,,,0.8221495449542999,0.5915689170360565
Q004,1,retriever,hybrid_rerank,maddpg_ceb,-0.491349,0.101143,0.312677,0.485102,0.25432564318180084,18,0.6563386619091034,0.7425509542226791,maddpg_ceb,,,,,,,,,
Q004,2,grader,strict_filter,maddpg_ceb,0.64123,-0.543428,0.531014,,,,,,maddpg_ceb,0.8206151127815247,0.2282857894897461,0.7655068337917328,,,,,,
Q004,3,generator,generate_answer,maddpg_ceb,-0.063322,-0.19302,-0.221951,-0.049339,,,,,maddpg_ceb,,,,0.4683391712605953,0.4034897983074188,476,0.47533064894378185,,
Q004,4,verifier,verify_answer,maddpg_ceb,0.64905,0.196098,,,,,,,maddpg_ceb,,,,,,,,0.8245247602462769,0.5980488881468773
Q005,1,retriever,hybrid_rerank,maddpg_ceb,-0.617835,0.056199,0.655901,0.309426,0.19108235836029053,18,0.8279505670070648,0.6547128856182098,maddpg_ceb,,,,,,,,,
Q005,2,grader,medium_filter,maddpg_ceb,0.521987,-0.336631,0.042897,,,,,,maddpg_ceb,0.7609935700893402,0.331684410572052,0.5214483439922333,,,,,,
Q005,3,generator,generate_answer,maddpg_ceb,-0.401932,-0.397533,-0.209004,-0.057921,,,,,maddpg_ceb,,,,0.29903388023376465,0.30123329162597656,482,0.4710393622517586,,
Q005,4,verifier,verify_answer,maddpg_ceb,0.674709,-0.048032,,,,,,,maddpg_ceb,,,,,,,,0.8373546898365021,0.4759840089827776
Q006,1,retriever,hybrid_rerank,maddpg_ceb,-0.490207,0.100866,0.30757,0.484617,0.25489629805088043,18,0.6537851691246033,0.7423084527254105,maddpg_ceb,,,,,,,,,
Q006,2,grader,strict_filter,maddpg_ceb,0.641044,-0.541926,0.531215,,,,,,maddpg_ceb,0.8205219507217407,0.2290370762348175,0.7656075656414032,,,,,,
Q006,3,generator,generate_answer,maddpg_ceb,-0.062811,-0.1945,-0.222434,-0.047304,,,,,maddpg_ceb,,,,0.4685945548117161,0.4027499705553055,476,0.47634789906442165,,
Q006,4,verifier,verify_answer,maddpg_ceb,0.648079,0.194389,,,,,,,maddpg_ceb,,,,,,,,0.8240392506122589,0.5971944034099579
Q007,1,retriever,hybrid_rerank,maddpg_ceb,-0.572283,0.058746,0.579876,0.510135,0.21385857462882996,18,0.7899379432201385,0.7550674974918365,maddpg_ceb,,,,,,,,,
Q007,2,grader,strict_filter,maddpg_ceb,0.621728,-0.446953,0.416542,,,,,,maddpg_ceb,0.810864120721817,0.27652373909950256,0.7082711458206177,,,,,,
Q007,3,generator,generate_short_answer,maddpg_ceb,-0.015404,-0.250574,-0.363559,-0.28806,,,,,maddpg_ceb,,,,0.49229787290096283,0.3747129738330841,413,0.3559700697660446,,
Q007,4,verifier,verify_answer,maddpg_ceb,0.638553,0.17708,,,,,,,maddpg_ceb,,,,,,,,0.8192766904830933,0.5885397717356682
Q008,1,retriever,hybrid_rerank,maddpg_ceb,-0.552597,0.142335,0.524863,0.556735,0.2237015664577484,19,0.7624313235282898,0.7783676087856293,maddpg_ceb,,,,,,,,,
Q008,2,grader,strict_filter,maddpg_ceb,0.635536,-0.424465,0.412247,,,,,,maddpg_ceb,0.8177681863307953,0.28776733577251434,0.7061236798763275,,,,,,
Q008,3,generator,generate_short_answer,maddpg_ceb,-0.015407,-0.28638,-0.389526,-0.252565,,,,,maddpg_ceb,,,,0.49229630874469876,0.35681019723415375,401,0.373717337846756,,
Q008,4,verifier,verify_answer,maddpg_ceb,0.633279,0.117811,,,,,,,maddpg_ceb,,,,,,,,0.8166397213935852,0.5589053854346275
Q009,1,retriever,hybrid_rerank,maddpg_ceb,-0.619803,0.012723,0.498358,0.518289,0.19009843468666077,17,0.7491790503263474,0.7591443657875061,maddpg_ceb,,,,,,,,,
Q009,2,grader,strict_filter,maddpg_ceb,0.685694,-0.47252,0.514578,,,,,,maddpg_ceb,0.8428469598293304,0.2637399584054947,0.7572887539863586,,,,,,
Q009,3,generator,generate_answer,maddpg_ceb,-0.008193,-0.293466,-0.337318,-0.195879,,,,,maddpg_ceb,,,,0.4959034067578614,0.3532670736312866,424,0.40206053107976913,,
Q009,4,verifier,verify_answer,maddpg_ceb,0.655012,0.154853,,,,,,,maddpg_ceb,,,,,,,,0.8275062143802643,0.5774263143539429
